issue_id	publish_year	publish_month	publish_date	icon_url	Hç	L%	S%
15711	1963	10	1975/10	14038-2133-15711-1-x-men_icon.jpg	32.84120609	50.38019608	18.59670198
15711	1975	10	1975/10	14038-2133-15711-1-x-men_icon.jpg	32.84120609	50.38019608	18.59670198
15889	1975	12	1975/12	14205-2133-15889-1-x-men_icon.jpg	48.39789115	38.10262745	26.9986013
14890	1975	5	1975/5	13286-2763-14890-1-giant-size-x-men_icon.jpg	0.114229144	50.87431373	10.48251584
216929	1975	6	1975/6	1248712-foom_v1_010_icon.jpg	276.8055106	42.28256863	22.49241912
15508	1975	8	1975/8	13846-2133-15508-1-x-men_icon.jpg	42.55011221	42.76539216	20.94074602
15915	1976	-1	1976/-1	14227-2863-15915-1-marvel-team-up-annua_icon.jpg	27.36384453	44.33441176	21.92184622
16800	1976	10	1976/10	15063-2133-16800-1-x-men_icon.jpg	66.53164557	48.87392157	7.765077811
16981	1976	12	1976/12	15233-2133-16981-1-x-men_icon.jpg	28.32618026	53.50607843	14.64117173
16100	1976	2	1976/2	14398-2133-16100-1-x-men_icon.jpg	20.84237433	42.90901961	16.08967446
67500	1976	2	1976/2	51238-2702-67500-1-spidey-super-stories_icon.jpg	101.3750979	61.25784314	3.231520611
16278	1976	4	1976/4	14568-2133-16278-1-x-men_icon.jpg	31.51797137	47.49354902	22.29854952
16440	1976	6	1976/6	14724-2133-16440-1-x-men_icon.jpg	27.63421292	49.36431373	18.33427339
16618	1976	8	1976/8	14893-2133-16618-1-x-men_icon.jpg	38.52985608	46.79219608	21.46989485
17108	1977	1	1977/1	15351-2576-17108-1-marvel-team-up_icon.jpg	26.27792978	43.6842549	32.82660733
17894	1977	10	1977/10	16067-2133-17894-1-x-men_icon.jpg	31.00794917	49.23047059	25.42288094
18064	1977	12	1977/12	16220-2133-18064-1-x-men_icon.jpg	33.41990306	47.2972549	13.85563147
17209	1977	2	1977/2	15443-2133-17209-1-x-men_icon.jpg	27.86458283	47.07486275	25.7929589
17371	1977	4	1977/4	15590-2133-17371-1-x-men_icon.jpg	47.44068802	53.38745098	8.510709899
17526	1977	6	1977/6	15731-2133-17526-1-x-men_icon.jpg	39.65615719	47.501	25.30922982
17708	1977	8	1977/8	15896-2133-17708-1-x-men_icon.jpg	14.2421191	43.37047059	15.89343793
17782	1977	9	1977/9	15961-2766-17782-1-iron-fist_icon.jpg	41.5282718	43.72607843	25.59203239
18916	1978	10	1978/10	16985-2133-18916-1-x-men_icon.jpg	14.42171341	35.93729412	8.726419984
18985	1978	11	1978/11	2198611-x_men__115__1978__icon.jpg	15.88820019	38.26835294	15.06154166
19060	1978	12	1978/12	2198613-x_men__116__1978__icon.jpg	22.71260782	38.45817647	12.87943562
18267	1978	2	1978/2	1692907-uncanny109__icon.jpg	35.73403938	38.67658824	24.77731373
18435	1978	4	1978/4	16548-2133-18435-1-x-men_icon.jpg	15.63744853	41.8215098	10.62325091
18598	1978	6	1978/6	16695-2133-18598-1-x-men_icon.jpg	30.27934353	52.22588235	26.35851721
18757	1978	8	1978/8	16839-2133-18757-1-x-men_icon.jpg	27.22573234	50.4445098	14.4662549
18837	1978	9	1978/9	16913-2133-18837-1-x-men_icon.jpg	39.83474576	55.35294118	12.43741765
19210	1979	1	1979/1	17206-2133-19210-1-x-men_icon.jpg	36.64883932	50.06598039	24.0456524
138857	1979	1	1979/1	543186-x3_icon.jpg	34.31590102	47.40823529	13.27063222
19865	1979	10	1979/10	17774-2133-19865-1-x-men_icon.jpg	46.42044145	52.72784314	18.00255508
19924	1979	11	1979/11	17825-3007-19924-1-marvel-spotlight_icon.jpg	44.90629196	44.09303922	11.42481695
