Predators_(2010), Nimród_Antal, Adrien_Brody, Laurence_Fishburne, Topher_Grace, Alice_Braga
Terminator_3:_Rise_of_the_Machines_(2003), Jonathan_Mostow, Arnold_Schwarzenegger, Nick_Stahl, Kristanna_Loken, Claire_Danes
Alien_3_(1992), David_Fincher, Sigourney_Weaver, Charles_S._Dutton, Charles_Dance, Paul_McGann
Riddick_(2013), David_Twohy, Vin_Diesel, Karl_Urban, Katee_Sackhoff, Jordi_Mollà
Bellflower_(2011), Evan_Glodell, Evan_Glodell, Tyler_Dawson, Jessie_Wiseman, Rebekah_Brandes
TMNT_(2007), Kevin_Munroe, Patrick_Stewart, Mako, Chris_Evans, Sarah_Michelle_Gellar
Death_Race_(2008), Paul_W.S._Anderson, Jason_Statham, Joan_Allen, Tyrese_Gibson, Ian_McShane
Darkman_(1990), Sam_Raimi, Liam_Neeson, Frances_McDormand, Colin_Friels, Larry_Drake
The_Day_After_Tomorrow_(2004), Roland_Emmerich, Dennis_Quaid, Jake_Gyllenhaal, Emmy_Rossum, Dash_Mihok
Star_Trek:_Insurrection_(1998), Jonathan_Frakes, Patrick_Stewart, Jonathan_Frakes, Brent_Spiner, LeVar_Burton
Transformers:_Dark_of_the_Moon_(2011), Michael_Bay, Shia_LaBeouf, Rosie_Huntington-Whiteley, Tyrese_Gibson, Josh_Duhamel
Screamers_(1995), Christian_Duguay, Peter_Weller, Roy_Dupuis, Jennifer_Rubin, Andrew_Lauer
Astro_Boy_(2009), David_Bowers, Freddie_Highmore, Nicolas_Cage, Kristen_Bell, Charlize_Theron
The_Adventures_of_the_Rocketeer_(1991), Joe_Johnston, Billy_Campbell, Jennifer_Connelly, Alan_Arkin, Timothy_Dalton
Repo_Men_(2010), Miguel_Sapochnik, Jude_Law, Forest_Whitaker, Alice_Braga, Liev_Schreiber
Gemini_Rising_(2013), Dana_Schroeder, Lance_Henriksen, Amy_Hathaway, John_Savage, Brian_Krause
Total_Recall_(2012), Len_Wiseman, Colin_Farrell, Bokeem_Woodbine, Bryan_Cranston, Kate_Beckinsale
The_Arrival_(1996), David_Twohy, Charlie_Sheen, Lindsay_Crouse, Richard_Schiff, Shane
Supersnooper_(1980), Sergio_Corbucci, Terence_Hill, Ernest_Borgnine, Joanne_Dru, Marc_Lawrence
Blue_Thunder_(1983), John_Badham, Roy_Scheider, Warren_Oates, Candy_Clark, Daniel_Stern
Alien:_Resurrection_(1997), Jean-Pierre_Jeunet, Sigourney_Weaver, Winona_Ryder, Dominique_Pinon, Ron_Perlman
Outlander_(2008), Howard_McCain, Jim_Caviezel, Sophia_Myles, Ron_Perlman, Jack_Huston
Resident_Evil:_Extinction_(2007), Russell_Mulcahy, Milla_Jovovich, Ali_Larter, Oded_Fehr, Iain_Glen
Surrogates_(2009), Jonathan_Mostow, Bruce_Willis, Radha_Mitchell, Ving_Rhames, Rosamund_Pike
Lockdown:_Red_Moon_Escape_(2012), Mohammed_Alibrahim, Ahmed_Al_Baker, Mishal_Al_Dosari, Mahmood_Al_Mahmood, Mariam_Al_Essa, Jassim_Mohammed
Paycheck_(2003), John_Woo, Ben_Affleck, Aaron_Eckhart, Uma_Thurman, Michael_C._Hall
Alien_Nation_(1988), Graham_Baker, James_Caan, Mandy_Patinkin, Terence_Stamp, Kevyn_Major_Howard
Death_Race_2000_(1975), Paul_Bartel, David_Carradine, Sylvester_Stallone, Simone_Griffeth, Mary_Woronov
Moonraker_(1979), Lewis_Gilbert, Roger_Moore, Lois_Chiles, Michael_Lonsdale, Richard_Kiel
Hissatsu_onna_kenshi_(1976), Yutaka_Kohira, Etsuko_Shihomi, Shin'ichi_Chiba, Yasuaki_Kurata, Jirô_Chiba
Gojira_tai_Mekagojira_(1974), Jun_Fukuda, Masaaki_Daimon, Kazuya_Aoyama, Reiko_Tajima, Akihiko_Hirata
